
---	Treino para o 0-fold	---
Epochs        17600. Current error: 0.0017641276. Bit fail 0.
Epochs        17700. Current error: 0.0017640332. Bit fail 0.
Epochs        17800. Current error: 0.0017642258. Bit fail 0.
Epochs        17900. Current error: 0.0017641786. Bit fail 0.
Epochs        18000. Current error: 0.0017641559. Bit fail 0.
Epochs        18100. Current error: 0.0017642386. Bit fail 0.
Epochs        18200. Current error: 0.0017643322. Bit fail 0.
Epochs        18300. Current error: 0.0017642794. Bit fail 0.
Epochs        18400. Current error: 0.0017642569. Bit fail 0.
Epochs        18500. Current error: 0.0017642154. Bit fail 0.
Epochs        18600. Current error: 0.0017643074. Bit fail 0.
Epochs        18700. Current error: 0.0017642750. Bit fail 0.
Epochs        18800. Current error: 0.0017642700. Bit fail 0.
Epochs        18900. Current error: 0.0017642725. Bit fail 0.
Epochs        19000. Current error: 0.0017642536. Bit fail 0.
Epochs        19100. Current error: 0.0017641265. Bit fail 0.
Epochs        19200. Current error: 0.0017642446. Bit fail 0.
Epochs        19300. Current error: 0.0017642316. Bit fail 0.
Epochs        19400. Current error: 0.0017642436. Bit fail 0.
Epochs        19500. Current error: 0.0017642416. Bit fail 0.
Epochs        19600. Current error: 0.0017643258. Bit fail 0.
Epochs        19700. Current error: 0.0017644084. Bit fail 0.
Epochs        19800. Current error: 0.0017642715. Bit fail 0.
Epochs        19900. Current error: 0.0017641234. Bit fail 0.
Epochs        20000. Current error: 0.0017641826. Bit fail 0.
Epochs        20100. Current error: 0.0017641813. Bit fail 0.
Epochs        20200. Current error: 0.0017641633. Bit fail 0.
Epochs        20300. Current error: 0.0017641409. Bit fail 0.
Epochs        20400. Current error: 0.0017641897. Bit fail 0.
Epochs        20500. Current error: 0.0017641064. Bit fail 0.
Epochs        20600. Current error: 0.0017641538. Bit fail 0.
Epochs        20700. Current error: 0.0017641543. Bit fail 0.
Epochs        20800. Current error: 0.0017642649. Bit fail 0.
Epochs        20900. Current error: 0.0017642340. Bit fail 0.
Epochs        21000. Current error: 0.0017642347. Bit fail 0.
Epochs        21100. Current error: 0.0017642240. Bit fail 0.
Epochs        21200. Current error: 0.0017642193. Bit fail 0.
Epochs        21300. Current error: 0.0017641017. Bit fail 0.
Epochs        21400. Current error: 0.0017641992. Bit fail 0.
Epochs        21500. Current error: 0.0017642318. Bit fail 0.
Epochs        21600. Current error: 0.0017642241. Bit fail 0.
Epochs        21700. Current error: 0.0017641746. Bit fail 0.
Epochs        21800. Current error: 0.0017642173. Bit fail 0.
Epochs        21900. Current error: 0.0017642058. Bit fail 0.
Epochs        22000. Current error: 0.0017642028. Bit fail 0.
Epochs        22100. Current error: 0.0017641364. Bit fail 0.
Epochs        22200. Current error: 0.0017642628. Bit fail 0.
Epochs        22300. Current error: 0.0017643017. Bit fail 0.
Epochs        22400. Current error: 0.0017642807. Bit fail 0.
Epochs        22500. Current error: 0.0017643529. Bit fail 0.
